bookingId,vehicleType,distance,pickupLocation,dropoffLocation,amount,userId
B001,budget,8.58,Woodlands,Orchard Road,13.87,tracy14@yahoo.com
B002,budget,14.6,Pasir Ris,Novena,36.38,gabbott@hotmail.com
B003,budget,24.2,Holland Village,Punggol,37.77,jennifermartin@yahoo.com
B004,budget,12.29,Ang Mo Kio,Toa Payoh,25.37,joshua40@walker-webb.com
B005,premium,29.94,Punggol,Ang Mo Kio,15.02,sburns@yahoo.com
B006,standard,28.55,Gardens by the Bay,Jurong East,31.15,daniel36@yahoo.com
B007,premium,22.14,Sentosa,Clarke Quay,12.54,phillipsdaniel@gmail.com
B008,premium,15.57,Sentosa,Little India,49.64,coffeydouglas@yahoo.com
B009,budget,9.71,Sentosa,Orchard Road,12.57,zreynolds@snyder-combs.com
B010,budget,13.56,Marina Bay,Clarke Quay,20.79,millerjoseph@irwin.info
B011,budget,15.2,Orchard Road,Pasir Ris,48.77,aliciareeves@mason.net
B012,budget,14.57,Punggol,Marina Bay,7.21,mullenandrew@gmail.com
B013,standard,16.93,Little India,Holland Village,38.5,john34@yahoo.com
B014,premium,14.54,Toa Payoh,Chinatown,6.64,brandon93@yahoo.com
B015,standard,18.85,Marina Bay,Bugis,8.41,jennifer67@gmail.com
B016,standard,18.99,Jurong East,Woodlands,31.07,charles34@hotmail.com
B017,budget,2.42,Chinatown,Bugis,37.34,brian66@gmail.com
B018,budget,5.0,Toa Payoh,Changi Airport,46.86,rroberts@butler.com
B019,budget,3.42,Toa Payoh,Chinatown,6.25,bensonemily@beck.com
B020,premium,9.68,Holland Village,Bugis,14.92,courtneymcneil@hotmail.com
B021,premium,7.37,Bugis,Yishun,10.01,floresdanielle@henry-kline.com
B022,premium,11.87,Little India,Orchard Road,34.26,michael66@hotmail.com
B023,budget,13.41,Jurong East,Punggol,20.59,jessicajones@hotmail.com
B024,budget,21.03,Kallang,Holland Village,11.53,cabreradanielle@frank.com
B025,budget,28.91,Yishun,Holland Village,23.7,robertsonanna@rogers.com
B026,standard,28.97,Yishun,Woodlands,14.41,rodriguezmadison@smith.biz
B027,premium,3.95,Clarke Quay,Toa Payoh,38.66,theresataylor@yahoo.com
B028,standard,24.02,Holland Village,Punggol,30.11,robertdavis@brown-douglas.com
